ST_CODE,State name,Month,Year,PC Number,PC name,PC Type,Candidate Name,Candidate Sex,Candidate Category,Candidate Age,Party Abbreviation,Total Votes Polled,Position
S01,Andhra Pradesh,3,2009,1,Adilabad,ST,RATHOD RAMESH,M,ST,43,TDP,372268,1
S01,Andhra Pradesh,3,2009,1,Adilabad,ST,KOTNAK RAMESH,M,ST,39,INC,257181,2
S01,Andhra Pradesh,3,2009,1,Adilabad,ST,MESRAM NAGO RAO,M,ST,59,PRAP,112930,3
S01,Andhra Pradesh,3,2009,1,Adilabad,ST,ADE TUKARAM,M,ST,55,BJP,57931,4
S01,Andhra Pradesh,3,2009,1,Adilabad,ST,RATHOD SADASHIV NAIK,M,ST,50,BSP,16471,5
S01,Andhra Pradesh,3,2009,1,Adilabad,ST,BANKA SAHADEVU,M,ST,55,IND,16441,6
S01,Andhra Pradesh,3,2009,1,Adilabad,ST,GANTA PENTANNA,M,ST,36,IND,13378,7
S01,Andhra Pradesh,3,2009,1,Adilabad,ST,NETHAVAT RAMDAS,M,ST,39,IND,9157,8
S01,Andhra Pradesh,3,2009,1,Adilabad,ST,ATHRAM LAXMAN RAO,M,ST,47,IND,7824,9
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,DR.G.VIVEKANAND,M,SC,51,INC,313748,1
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,GOMASA SRINIVAS,M,SC,41,TRS,264731,2
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,AREPELLI DAVID RAJU,M,SC,36,PRAP,175605,3
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,MATHANGI NARSIAH,M,SC,64,BJP,67836,4
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,S.LAXMAIAH,M,SC,41,IND,20263,5
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,GAJJELA SWAMY,M,SC,49,BSP,15859,6
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,AMBALA MAHENDAR,M,SC,38,IND,8364,7
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,G.VINAY KUMAR,M,SC,51,IND,6726,8
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,KRISHNA SABBALI,M,SC,39,MCPI(S),5752,9
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,D. RAMULU,M,SC,51,IND,5511,10
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,B. MALLAIAH,M,SC,32,IND,4541,11
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,NALLALA KANUKAIAH,M,SC,39,IND,4468,12
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,A. KAMALAMMA,F,SC,36,IND,3938,13
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,GORRE RAMESH,M,SC,42,IND,3414,14
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,K. RAJASWARI,F,SC,38,IND,3328,15
S01,Andhra Pradesh,3,2009,3,Karimnagar,GEN,PONNAM PRABHAKAR,M,GEN,41,INC,317927,1
S01,Andhra Pradesh,3,2009,3,Karimnagar,GEN,VINOD KUMAR BOINAPALLY,M,GEN,49,TRS,267684,2
S01,Andhra Pradesh,3,2009,3,Karimnagar,GEN,VELICHALA RAJENDER RAO,M,GEN,32,PRAP,175582,3
S01,Andhra Pradesh,3,2009,3,Karimnagar,GEN,CHANDUPATLA JANGA REDDY,M,GEN,75,BJP,122337,4
